"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-07-06",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","1",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","El teléfono lo compré para utilizarlo en Ecuador, se supone que está desbloqueado, pero por alguna razón me quedo sin señal, no puedo utilizar los datos de mi teléfono, he llegado a pensar que es la antena de la señal que se encuentra averiada. 🫩","R3AP4HN0005WUQ",,,,,,,,"Se pierde la señal","https://www.amazon.com/gp/customer-reviews/R3AP4HN0005WUQ","Reviewed in the United States on July 6, 2025","1836","30",,,"Service Provider: Unlocked, Color: Blue, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Blue","Size","128GB"
"United States",,"2025-04-23",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","2",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Very very neat phone. No dents or scratches, it’s almost like a fresh in box. Battery health is 100% with just 2 charging cycle counts. I just finished setting it up and everything is great so far. I will come back if any issues pops up. UPDATE!! The details of the phone said unlocked but it is actually locked to Verizon and you can’t use it with any other carrier apart from Verizon. I have contacted the seller and amazon for refund and will be returning the phone. I hope they change the description to locked instead of writing that is unlocked to avoid customer frustration.","RQ2A03QL5KYZH","https://m.media-amazon.com/images/I/614kSaSqF0L._SY88.jpg","https://m.media-amazon.com/images/I/61DPKbCDnZL._SY88.jpg",,,,,,"Very neat and nice but the phone was locked","https://www.amazon.com/gp/customer-reviews/RQ2A03QL5KYZH","Reviewed in the United States on April 23, 2025","1836","30",,,"Service Provider: Verizon, Color: Blue, Size: 128GB","B0CMPMY9ZZ","Service Provider","Verizon","Color","Blue","Size","128GB"
"United States",,"2025-06-22",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","3",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Physical phone in great condition. Within a week of purchase the iPhone 15 was freezing, overheating, not showing locations or allowing for group calls. I contacted the seller twice and have not heard back. Definitely a bummer.","R2DSHSEKAQGDG0",,,,,,,,"Would maybe avoid","https://www.amazon.com/gp/customer-reviews/R2DSHSEKAQGDG0","Reviewed in the United States on June 22, 2025","1836","30",,,"Service Provider: Unlocked, Color: Pink, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Pink","Size","128GB"
"United States",,"2025-02-27",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","4",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I purchased this phone for my daughter-She had been using my 13 pro which had battery health at 89% and she loved the pink iphone 15- Bought this REFURBISHED which in my understanding should at least have a new battery- This phone came to us with battery health at 87%... I was blown away and just dont understand - So now I have to go and pay more money to get battery replaced because my 14 yr daughter needs to have reliable phone that at least last her the day through school- I wouldnt rec purchasing from this seller in my opinion- The seller I bought my mom's iphone 12 had replaced that battery before selling it.","R18X6YXETYUB7D",,,,,,,,"Check phone battery","https://www.amazon.com/gp/customer-reviews/R18X6YXETYUB7D","Reviewed in the United States on February 27, 2025","1836","30",,,"Service Provider: Unlocked, Color: Pink, Size: 256GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Pink","Size","256GB"
"United States",,"2025-06-07",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","5",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Ordered this phone, and it was used for like an hour and the screen went completely black. Took it to a repair shop and they said it has severe water damage. I had to pay an additional $150 there for it to even turn on. Wouldn't buy again.","RHOEX91O5GFU6",,,,,,,,"Surprised how bad it was","https://www.amazon.com/gp/customer-reviews/RHOEX91O5GFU6","Reviewed in the United States on June 7, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","128GB"
"United States",,"2025-05-25",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","6",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The iphone have a lot if scratch and It’s not worth it Just buy a new one if you want the battery life is not that bad camera but This is Not representable","RYIUIK5BPNX3V",,,,,,,,"Full of scratch and the screen is terible","https://www.amazon.com/gp/customer-reviews/RYIUIK5BPNX3V","Reviewed in the United States on May 25, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","128GB"
"United States",,"2025-05-01",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","7",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I have bought phones that are refurbished or renewed over the last couple years and this has been the worse. I am soo disappointed my current iPhone X came through Amazon and it was in excellent condition. Very disappointed customer to say the least.","RVWZUW0BTAM9J",,,,,,,"2","Disappointed","https://www.amazon.com/gp/customer-reviews/RVWZUW0BTAM9J","Reviewed in the United States on May 1, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","128GB"
"United States",,"2025-03-27",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","8",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Love this product, gave me no issues when setting up. EDIT : I used this phone from the day I got it til now, I was just told everytime I make calls it’s cutting in and out, I sound muffled, my quality is WAY OFF and not close to the iPhone 15 quality I’m looking for. How am I supposed to return this phone to the seller AS I DONT HAVE A PHONE TO RELY ON FOR THE MEAN TIME!","R26EO9MEWFHG2V",,,,,,,,"Wanting a new phone sent!","https://www.amazon.com/gp/customer-reviews/R26EO9MEWFHG2V","Reviewed in the United States on March 27, 2025","1836","30",,,"Service Provider: AT&amp;T, Color: Pink, Size: 128GB","B0CMPMY9ZZ","Service Provider","AT&amp;T","Color","Pink","Size","128GB"
"United States",,"2025-06-03",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","9",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone itself was not damaged but the Cellular would not work, I had to take it to Apple to get sent off to get repaired","RM259AG6V9XOP",,,,,,,,"Faulty","https://www.amazon.com/gp/customer-reviews/RM259AG6V9XOP","Reviewed in the United States on June 3, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","128GB"
"United States",,"2025-04-24",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","10",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This phone can’t hold a charge for longer than an hour, its battery dies after two. And it takes a long time to charge because it keeps overheating while charging. I would recommend making sure the seller stands by their standards","R185ILCGR92411","https://m.media-amazon.com/images/I/51ATHfHMlKL._SY88.jpg",,,,,,,"Terrible battery, phone overheats","https://www.amazon.com/gp/customer-reviews/R185ILCGR92411","Reviewed in the United States on April 24, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 256GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","256GB"
"United States",,"2025-06-12",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","11",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Pagas por el “premium” y te llega un teléfono con varios rayones en la pantalla","R2KPDTRLFO1SK",,,,,,,,"Buena batería, mala pantalla","https://www.amazon.com/gp/customer-reviews/R2KPDTRLFO1SK","Reviewed in the United States on June 12, 2025","1836","30",,,"Service Provider: Unlocked, Color: Blue, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Blue","Size","128GB"
"United States",,"2025-02-06",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","12",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I bought this phone after my iPhone 13 broke, and I was excited when the package arrived. I set everything up, only to realize that when I tried to connect it to my provider (Verizon), the phone was locked. I now realize that purchasing the 'Verizon Phone' may have been different from buying an unlocked version. If I were you, I would choose the unlocked option instead. I ended up returning the phone and am now waiting for a refund.","R1KDNULYRRKJE7",,,,,,,"2","LOCKED PHONE :(","https://www.amazon.com/gp/customer-reviews/R1KDNULYRRKJE7","Reviewed in the United States on February 6, 2025","1836","30",,,"Service Provider: Verizon, Color: Blue, Size: 128GB","B0CMPMY9ZZ","Service Provider","Verizon","Color","Blue","Size","128GB"
"United States",,"2025-04-29",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","13",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone works beautifully but I’m having trouble logging into some apps as the previous owner got the device permanently banned from said apps. Using my old phone for those apps","R1YAPZQC5VMDDU",,,,,,,,"Suspicious","https://www.amazon.com/gp/customer-reviews/R1YAPZQC5VMDDU","Reviewed in the United States on April 29, 2025","1836","30",,,"Service Provider: Boost Mobile, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Boost Mobile","Color","Black","Size","128GB"
"United States",,"2025-05-23",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","14",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This is what Amazon considers “excellent” quality.","R1M263VBS33NYY","https://m.media-amazon.com/images/I/51nzgNlAltL._SY88.jpg","https://m.media-amazon.com/images/I/61-IX5rUH1L._SY88.jpg",,,,,,"Misleading Description","https://www.amazon.com/gp/customer-reviews/R1M263VBS33NYY","Reviewed in the United States on May 23, 2025","1836","30",,,"Service Provider: Unlocked, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Black","Size","128GB"
"United States",,"2025-03-07",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","15",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone was in seemingly perfect condition. However it gets very hot when its charging. Idk how safe this is or how its going to effect the longevity of the phone, but I have never had a phone get warm like this from simply charging. And I'm not using it while it charges either","R257OPZHX4UZ6T",,,,,,,,"Somethings not right.","https://www.amazon.com/gp/customer-reviews/R257OPZHX4UZ6T","Reviewed in the United States on March 7, 2025","1836","30",,,"Service Provider: Unlocked, Color: Blue, Size: 128GB","B0CMPMY9ZZ","Service Provider","Unlocked","Color","Blue","Size","128GB"
"United States",,"2025-05-07",,"twoStar","https://www.amazon.com/Apple-iPhone-15-128GB-Black/dp/B0CMPMY9ZZ/ref=sr_1_1?crid=34JZ2Y6OCD3EK&dib=eyJ2IjoiMSJ9.Qh2L3EKd-X1puv7dw22z4841kXh2ATYGWJBxSB31Acf5XSkJKZnL5gsZn5WfOWVyMw_S-SV9U2Ts4M7KuLUea4Epm7vPwU1AeJmv3KfgSFnCJfngKSJ8IQL8Kl3WeSr-8h-aA8KXe6paUOUVpwDaaPXvu7i-gWvJfh5RBBSHIz6FlDluKT_Zqr1o8hcaMWSnBaa1_d3WxpIkYRvqcNClqYH5wSHoJdSzBbNPUJhHbGg.fTYnm68KEjgyBxW9AYoiHMQWSKuxK0AjhEuc2ayNXMU&dib_tag=se&keywords=iphone%2B15&qid=1752827377&sprefix=iphone%2B15%2Caps%2C741&sr=8-1&th=1","false","true","16",,,"B0CMPMY9ZZ","B0CMPMY9ZZ","2","https://www.amazon.com/product-reviews/B0CMPMY9ZZ?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0CMPMY9ZZ&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","iPhone 15 is too too small I have returned the iPhone 15 on 5-6-2025 waiting on refund!","RDJ8SM3W9ZLRJ",,,,,,,,"Too small!!","https://www.amazon.com/gp/customer-reviews/RDJ8SM3W9ZLRJ","Reviewed in the United States on May 7, 2025","1836","30",,,"Service Provider: AT&amp;T, Color: Black, Size: 128GB","B0CMPMY9ZZ","Service Provider","AT&amp;T","Color","Black","Size","128GB"
