"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value"
"United States",,"2025-06-24",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","1",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why did you pick this product vs others?: Im leaving 2 stars because it lasted 2 months. The screen went white and after taking it to apple store, they confirmed the screen went out after no fault of mine. This seller refunded it, but added on a hefty restocking fee saying it was damaged. Amazon really came through.","R169UI7GFAUNUC",,,,,,,,"Iphone 14 pro max","https://www.amazon.com/gp/customer-reviews/R169UI7GFAUNUC","Reviewed in the United States on June 24, 2025","3672","84",,,"Service Provider: T-Mobile, Color: Deep Purple, Size: 128GB","B0BN94DL3R","Service Provider","T-Mobile","Color","Deep Purple","Size","128GB"
"United States",,"2025-05-22",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","2",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I've been using IPhone like the last 6 years I just go the 14 pro max and its not very nice everytime I walk the screen go off and try to unlock itself so when I want to use it is locked down I have to wait never happened before with the other l've been using or something when I need it the screen just don't come out like its dead or something until I plug the charger. So I would not recommend this model","R5KZ5G1NSK6XB",,,,,,,,"SCREEN DONT WORK PROPERLY","https://www.amazon.com/gp/customer-reviews/R5KZ5G1NSK6XB","Reviewed in the United States on May 22, 2025","3672","84",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 256GB","B0BN94DL3R","Service Provider","Unlocked","Color","Deep Purple","Size","256GB"
"United States",,"2025-04-05",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","3",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone looks impeccable it’s clean, no scratches and came earlier than expected!! However a temperature warning is on the screen and won’t come off and I’ve tried everything possible before reaching out to the seller. Currently I am unable to actually use the device I may try to get it fixed or just return it and get a refund. I don’t know if I would recommend I mean one bad experience doesn’t mean others may have the same but at least have a reliable technician on stand by just incase!","R18JEWG3OTEFLO","https://m.media-amazon.com/images/I/61PxpSb9KtL._SY88.jpg","https://m.media-amazon.com/images/I/61V9GM1EaUL._SY88.jpg","https://m.media-amazon.com/images/I/71P-M0o8cJL._SY88.jpg","https://m.media-amazon.com/images/I/71egjo-10LL._SY88.jpg",,,,"Possible battery issue","https://www.amazon.com/gp/customer-reviews/R18JEWG3OTEFLO","Reviewed in the United States on April 5, 2025","3672","84",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Deep Purple","Size","128GB"
"United States",,"2025-05-30",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","4",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The phone works fine, unfortunately has several scratches around the camera and edges, being refurbished is understandable but are things that I would have liked to know before making the purchase.","R3CZGJX7HMZCAJ",,,,,,,,"Good on the inside but has some damage on the outside","https://www.amazon.com/gp/customer-reviews/R3CZGJX7HMZCAJ","Reviewed in the United States on May 30, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","128GB"
"United States",,"2025-05-22",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","5",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Cannot add esim, needed to take to the store for repairing. The battery was also bad, it pushed up the screen after 1 month using, needed to fix as well","R1DHM9J85346GW",,,,,,,,"Bad quality","https://www.amazon.com/gp/customer-reviews/R1DHM9J85346GW","Reviewed in the United States on May 22, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 256GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","256GB"
"United States",,"2025-06-09",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","6",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","After a year of usage this phone went green screen. I was unable to fix it. Very disappointing. Please get insurance on your purchase…","R37JDLLF2XBVP0",,,,,,,,"After a year .. green screen.","https://www.amazon.com/gp/customer-reviews/R37JDLLF2XBVP0","Reviewed in the United States on June 9, 2025","3672","84",,,"Service Provider: Unlocked, Color: Gold, Size: 1TB","B0BN94DL3R","Service Provider","Unlocked","Color","Gold","Size","1TB"
"United States",,"2025-06-07",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","7",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","A los dos meses le aparecieron unos dead pixels, si bien no interfieren con el desempeño. Arruinan la pantalla.","R3HQNZE34L8OR5",,,,,,,,"Dead pixel","https://www.amazon.com/gp/customer-reviews/R3HQNZE34L8OR5","Reviewed in the United States on June 7, 2025","3672","84",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 256GB","B0BN94DL3R","Service Provider","Unlocked","Color","Deep Purple","Size","256GB"
"United States",,"2025-02-19",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","8",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Tengo este iPhone 14 Pro Max hace 5 días … decidí comprarlo ya que mi 13 pro Max me estaba fallando la batería y el flash de la cámara. El 14 pro Max no ofreció casi ningún cambio en relación al 13 pro Max , me decepcionó bastante la condición de la batería (85%) lo que significa que muy pronto tendré que cambiar la batería…. La condición en general del teléfono es buena, aunque el marco está moderadamente maltratado, en conclusión el precio pagado por el teléfono me parece muy alta en comparación a otros en el mercado. Analizaré si debo devolverlo .","R1T2Q6TWYFFLT6","https://m.media-amazon.com/images/I/51AmQ5gOURL._SY88.jpg","https://m.media-amazon.com/images/I/51uMDP9L-kL._SY88.jpg","https://m.media-amazon.com/images/I/71Qz58jC5sL._SY88.jpg",,,,,"Batería con poca condición 🪫","https://www.amazon.com/gp/customer-reviews/R1T2Q6TWYFFLT6","Reviewed in the United States on February 19, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","128GB"
"United States",,"2024-02-15",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","9",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","First of, I appreciate the speedy delivery. Second, I paid $900 for an Iphone 14 Pro Max that was described as “Excellent condition”. I received it yesterday and was disappointed at the condition. It wasn’t “excellent”. There was Grimy stuff on camera lens, dirt and grime around camera lenses, Screen has plenty of scratches. Outer Edges of phone have signs of wear and tear. The disappointment didn’t stop there. I could bite the bullet and live with the used far from “excellent condition” which i paid for. I activated the phone, spent hours setting up everything only to find out there was issues with the calls! I couldn’t hear the caller unless i put them on speaker. Researched for hours hoping to find a solution to the problem to no avail. It’s a hardware issue. There was a repair log in the phone tgat showed the display had been replaced which tells me this particular phone has gone throu some serious problem. Called amazon and i am currently waiting for the seller to contact me. It’s a bummer! I was really hoping to get a reliable phone but that was not the case. I feel duped! Overpaid for something that wasn’t worth my time or my money.","R3TZ32O49F36HZ",,,,,,,"2","Not excellent condition- Callers cannot hear me!","https://www.amazon.com/gp/customer-reviews/R3TZ32O49F36HZ","Reviewed in the United States on February 15, 2024","3672","84",,,"Service Provider: Unlocked, Color: Gold, Size: 256GB","B0BN94DL3R","Service Provider","Unlocked","Color","Gold","Size","256GB"
"United States",,"2024-12-30",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","10",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This would be medium at most. I got this for a gift to someone and I got excellent condition so it would look new. Theres so many scratches and I’m not even sure how or why there’s blotches under the glass on the back. The phone screen looks brand new atleast I’m gonna test the device to make sure it’s all oem parts. If I knew this is what excellent condition was I would’ve just got a lower tier one and not have paid the extra for a “excellent” phone. Might just return it. Looking back at others excellent condition iPhones mine definitely falls way below that. Definitely would like some money back for that","RWERVC9ZGB5R6","https://m.media-amazon.com/images/I/61CkelGCVqL._SY88.jpg","https://m.media-amazon.com/images/I/712mStYKH1L._SY88.jpg","https://m.media-amazon.com/images/I/71C-Fbga+SL._SY88.jpg","https://m.media-amazon.com/images/I/71DjcHeS0uL._SY88.jpg","https://m.media-amazon.com/images/I/71f0MgnJ2UL._SY88.jpg","https://m.media-amazon.com/images/I/71vAbhn8VzL._SY88.jpg",,"Don’t think it’s excellent condition","https://www.amazon.com/gp/customer-reviews/RWERVC9ZGB5R6","Reviewed in the United States on December 30, 2024","3672","84",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Deep Purple","Size","128GB"
"United States",,"2025-04-30",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","11",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","This phone did not have a phone slot . So I believe it was a manufacturing error but they still sold the phone at premium price .","R3OUDTQP14XTAD",,,,,,,,"No phone slot","https://www.amazon.com/gp/customer-reviews/R3OUDTQP14XTAD","Reviewed in the United States on April 30, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","128GB"
"United States",,"2025-06-05",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","12",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","me llego con el microfono dañado, no funciona.","R21FLYT0WW8LS2",,,,,,,,"terrible producto","https://www.amazon.com/gp/customer-reviews/R21FLYT0WW8LS2","Reviewed in the United States on June 5, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","128GB"
"United States",,"2025-04-23",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","13",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Good product keeps freezing and I keep having to restart it not sure what to do.","R260JIO8CEK6ZP",,,,,,,,"GLITCHING","https://www.amazon.com/gp/customer-reviews/R260JIO8CEK6ZP","Reviewed in the United States on April 23, 2025","3672","84",,,"Service Provider: Unlocked, Color: Deep Purple, Size: 256GB","B0BN94DL3R","Service Provider","Unlocked","Color","Deep Purple","Size","256GB"
"United States",,"2025-02-18",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","14",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I rated this a 3 star because My battery health was at 81%, I got the black color at 512Gb at excellent condition but the sides are all scratched with the top and all but overall I would say its a good phone it can probably be hidden with a phone case :) the charging speed is okay it does die fast because of the health battery","R1A06RM2H585N2",,,,,,,,"Eh its okay","https://www.amazon.com/gp/customer-reviews/R1A06RM2H585N2","Reviewed in the United States on February 18, 2025","3672","84",,,"Service Provider: Unlocked, Color: Space Black, Size: 512GB","B0BN94DL3R","Service Provider","Unlocked","Color","Space Black","Size","512GB"
"United States",,"2025-03-27",,"twoStar","https://www.amazon.com/Apple-iPhone-14-Pro-Max/dp/B0BN94DL3R/ref=sr_1_1?crid=1AAOXVMKNXJHS&dib=eyJ2IjoiMSJ9.fUO2M3tN536w0iq101MEq_4rpWw4qwTncBkf2RJvyJUJY_3er1qomtDpm5Um1ocx4vg-nhJDt7BUWM7D9wN-4Rv8t3pdPF88LI-jpdz3GRaikFs7FSxM6Eu64rJzKfSHwfKwULNYzESsUkVo87LZzA7hRNynDhgRHp0dzQQGqI5kuBdbgLT93x6qRAld8SOX--R0I7ECGiEnzWZKnGL-xl09RR10QWgW_J-DfJXKsyI.hT14Q_IPZPSIq1DKMN9S9wSQBTVv7OxVNQfHPQ_dlFk&dib_tag=se&keywords=iphone%2B14%2Bpro%2Bmax&qid=1752827155&sprefix=iphone%2B14%2Bpro%2Bma%2Caps%2C411&sr=8-1&th=1","false","true","15",,,"B0BN94DL3R","B0BN94DL3R","2","https://www.amazon.com/product-reviews/B0BN94DL3R?pageNumber=1&filterByStar=two_star&sortBy=helpful&formatType=all_formats&asin=B0BN94DL3R&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I love this phone came perfectly flawless but months later I got a warning frm my phone that I was back listed cause phone was reported stolen or lost so I had to get the banned remove and show my Amazon receipt","R1AFT6TM2LWYB8",,,,,,,,"Ok","https://www.amazon.com/gp/customer-reviews/R1AFT6TM2LWYB8","Reviewed in the United States on March 27, 2025","3672","84",,,"Service Provider: Unlocked, Color: Gold, Size: 128GB","B0BN94DL3R","Service Provider","Unlocked","Color","Gold","Size","128GB"
