"country","countryCode","date","filterByKeyword","filterByRating","input","isAmazonVine","isVerified","position","product/listPrice","product/price","productAsin","productOriginalAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewId","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","userId","userProfileLink","variant","variantAsin","variantAttributes/0/key","variantAttributes/0/value","variantAttributes/1/key","variantAttributes/1/value","variantAttributes/2/key","variantAttributes/2/value","variantAttributes/3/key","variantAttributes/3/value"
"United States",,"2025-05-30",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","1",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Phone seems to be in excellent condition . Only issue is I really wish they had packaged it better . It came in a cardboard fed ex envelope and was packaged inside a long slender box with absolutely nothing to protect it . The box was too big so the phone had been sliding around all in the box and the box was not even taped shut or anything . Very poor packaging . The phone itself seems to be fine and it did come with a new phone charger . Not sure I would buy again from this seller in the future due to the packaging though.","R3GHCSEM41DP0P",,,,,,,,,"Poor packaging","https://www.amazon.com/gp/customer-reviews/R3GHCSEM41DP0P","Reviewed in the United States on May 30, 2025","1012","20",,,"Size: 128GB, Color: Pink, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Pink","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-04-18",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","2",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Great while it lasted. Phone came fast, and it was in really good condition. I can tell the screen was replaced before but didn't care too much of it. The battery life was great, it was 100%. I was really happy with the purchase as everything was working great. Until one day it just develop a red line that ran across the whole phone. One line turned into two lines and I ended up returning it.","R3PPBFLKLOFHNW",,,,,,,,,"screen develop an issue","https://www.amazon.com/gp/customer-reviews/R3PPBFLKLOFHNW","Reviewed in the United States on April 18, 2025","1012","20",,,"Size: 256GB, Color: Blue, Service Provider: AT&amp;T, Product grade: Renewed","B0CMT4XDSC","Size","256GB","Color","Blue","Service Provider","AT&amp;T","Product grade","Renewed"
"United States",,"2025-05-01",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","3",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Lo compre en renovado excelente que debería de ser de los mejores estados , pero físicamente vino muy golpeado el celular","R1G5G0OWDOUG2A",,,,,,,,,"Golpe en el celulas","https://www.amazon.com/gp/customer-reviews/R1G5G0OWDOUG2A","Reviewed in the United States on May 1, 2025","1012","20",,,"Size: 128GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-04-11",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","4",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Came unlocked without any major scratches but the phone seems to have dead spots on the screen. It was too much of a hassle to request a refund so I kept it. It works fine I just learned how to finesse it.","RJHOFX5GWJ8QK",,,,,,,,,"Fine Product","https://www.amazon.com/gp/customer-reviews/RJHOFX5GWJ8QK","Reviewed in the United States on April 11, 2025","1012","20",,,"Size: 128GB, Color: Blue, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Blue","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-12-01",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","5",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","I buy/sell phones all of the time. Get many androids, with iPhones mixed in. While I like both, one thing I noticed over time is that androids (especially Pixels) improve and add useful features, while iPhones don't change meaningfully. I had this phone blfor about a month before I gave it to my mom. iPhones used to be boring but slightly better than most androids. We're now at the point where high end androids (at least those from Samsung, Google, and OnePlus) are more interesting and better phones. If Apple makes an interesting phone, I'm sure I'll get one. For now, if you're looking at an iPhone 15 or 16, get a 14 or 13. Just as good and you'll save a lot of cash.","R152YOLX8WU0BG",,,,,,,,"2","Less and less innovative","https://www.amazon.com/gp/customer-reviews/R152YOLX8WU0BG","Reviewed in the United States on December 1, 2024","1012","20",,,"Size: 256GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","256GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-12-15",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","6",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Not worth money 1) the charging cable came .2) NO Charging cube! REALLY!! For a cellphone over $600 and NO charging cube WOW disappointed 3) I fully understand this was a refurbished cell…. DID NOT MEET MY EXPECTATIONS After getting a new charging cable with cube . It did charge to 100%. During my , normal use of the phone it ran down to 32% This was the reason I wanted a different phone to start! I returned for refund… awaiting for refund I may not try another phone iPhones, they’re getting too expensive for my budget..","R1EWRMVJLMKH41",,,,,,,,,"My opinion, don’t buy it","https://www.amazon.com/gp/customer-reviews/R1EWRMVJLMKH41","Reviewed in the United States on December 15, 2024","1012","20",,,"Size: 128GB, Color: Yellow, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Yellow","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-03-01",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","7",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Phone came with damages and it was dirty. The battery cycle count was high","R3HS3EX1MJNX57",,,,,,,,,"Damage and battery cycle count was high","https://www.amazon.com/gp/customer-reviews/R3HS3EX1MJNX57","Reviewed in the United States on March 1, 2025","1012","20",,,"Size: 128GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-08-23",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","8",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Great product (apple’s achievement), however I’m a little disappointed with the quality for a product described as being in “excellent” condition. It has a small scratch on the top right and a long 2.5 inch scratch on the bottom right of the screen. The scratches are a little distracting, as long as the screen is off. However, I am keeping it as I am pressed for time and the scratch is not actually visible while the screen is on. 2 stars deducted for a somewhat inaccurate description. However, I am satisfied with everything else. The phone is fully functional, and I was able to connect this T-Mobile-locked iPhone to my T-Mobile plan.","R1B94TTVK8MRX3",,,,,,,,,"Condition didn’t match “excellent”, more like “good.”","https://www.amazon.com/gp/customer-reviews/R1B94TTVK8MRX3","Reviewed in the United States on August 23, 2024","1012","20",,,"Size: 128GB, Color: Black, Service Provider: T-Mobile, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Black","Service Provider","T-Mobile","Product grade","Renewed"
"United States",,"2025-02-27",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","9",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","good phone the battery life ain’t that good but a nice phone","R1IGDL8E27NC9F",,,,,,,,,"battery life","https://www.amazon.com/gp/customer-reviews/R1IGDL8E27NC9F","Reviewed in the United States on February 27, 2025","1012","20",,,"Size: 128GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2025-02-14",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","10",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Very short battery life and it takes hours to fully charge.","R19PKO0II69N5L",,,,,,,,,"Poor charge capacity","https://www.amazon.com/gp/customer-reviews/R19PKO0II69N5L","Reviewed in the United States on February 14, 2025","1012","20",,,"Size: 256GB, Color: Green, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","256GB","Color","Green","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-11-26",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","11",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Paid $700 just about. The phone doesn’t turn on when you click double tap the screen to wake it up. Tried enabling it on and off on settings. Update. Nothing works. Wife doesn’t want to exchange it. Make sure to inspect the phone thoroughly.","R14WKVUNWRAO20",,,,,,,,,"Good phone","https://www.amazon.com/gp/customer-reviews/R14WKVUNWRAO20","Reviewed in the United States on November 26, 2024","1012","20",,,"Size: 128GB, Color: Pink, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Pink","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-12-08",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","12",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Why would you send me a dead phone with a faulty charger","RN6RD2T2LN71F",,,,,,,,,"It’s worth the price but","https://www.amazon.com/gp/customer-reviews/RN6RD2T2LN71F","Reviewed in the United States on December 8, 2024","1012","20",,,"Size: 128GB, Color: Pink, Service Provider: T-Mobile, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Pink","Service Provider","T-Mobile","Product grade","Renewed"
"United States",,"2024-06-25",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","13",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","The dislikes were that some features did not work so well a little here and there. For example, if I were in a certain app and I was selecting something, I selected it on a tap had to do it more than two times to be able to open that tap because it wouldn’t budge. It just be like frozen. Then I would have to head home and start over again., i’d like to pay this phone off and then probably upgrade to something else if possible","R1V9FZ128A1KFL",,,,,,,,,"iPhone 15 plus","https://www.amazon.com/gp/customer-reviews/R1V9FZ128A1KFL","Reviewed in the United States on June 25, 2024","1012","20",,,"Size: 128GB, Color: Pink, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Pink","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-07-25",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","14",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Pretty much a brand new phone (battery came at 100% health with cycle count being only 2). But the battery lasts shorter than I expected — the seller might have replaced the original battery with a cheaper one. Also, the charging cord that came with the phone was defective so I had to buy a new one.","RY3YGFYG9P05S",,,,,,,,,"Brand new, but battery issue","https://www.amazon.com/gp/customer-reviews/RY3YGFYG9P05S","Reviewed in the United States on July 25, 2024","1012","20",,,"Size: 128GB, Color: Black, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Black","Service Provider","Unlocked","Product grade","Renewed"
"United States",,"2024-05-16",,"threeStar","https://www.amazon.com/Apple-iPhone-15-Plus-128GB/dp/B0CMT4XDSC/ref=sr_1_1?crid=3GMLZGPMEQ6A4&dib=eyJ2IjoiMSJ9.8VnKvSEvfeTiZ9NxBxln9K-aYKQsc9Eyj7GML81cCPC44pIeeMZ7tFJdxlZsC6Rd5wKhOCj_uRBtvzSW_ACFR3ql79mZgJy2p-Lt5ocjqjNWsuVPb3SPJKOfS30ldumKfjTtCpqJR_RS54HsfNiLW8Xx7LQST5g472aabfPappQvAcriruoC-Rt0ggLZcM7xE0KvELSaWG7r3R0W-n871Kx_fWB7MtMq98AcRP1NNFc.LAhTp6G2W6MI7ZVwicqiZv-o5M_YQ3cpFvlnEzTnbx0&dib_tag=se&keywords=iphone+15+plus&qid=1752827464&sprefix=iphone+15+pl%2Caps%2C441&sr=8-1","false","true","15",,,"B0CMT4XDSC","B0CMT4XDSC","3","https://www.amazon.com/product-reviews/B0CMT4XDSC?pageNumber=1&filterByStar=three_star&sortBy=helpful&formatType=all_formats&asin=B0CMT4XDSC&reftag=cm_cr_arp_d_paging_btm_next_1&scope=reviewsAjax0","Although I paid for an excellent reconditioned one, it arrived with a scratched screen, it also arrived with a generic charger and obviously without the original box, apart from this bad experience, the cell phone is in good condition, battery at 100%","R1EXF141STOCM6","https://m.media-amazon.com/images/I/61+xGgNtpzL._SY88.jpg","https://m.media-amazon.com/images/I/61Vj-jnOL-L._SY88.jpg","https://m.media-amazon.com/images/I/61lD6xuA9jL._SY88.jpg","https://m.media-amazon.com/images/I/61pNKPAUyNL._SY88.jpg",,,,,"It arrived with a scratched screen","https://www.amazon.com/gp/customer-reviews/R1EXF141STOCM6","Reviewed in the United States on May 16, 2024","1012","20",,,"Size: 128GB, Color: Pink, Service Provider: Unlocked, Product grade: Renewed","B0CMT4XDSC","Size","128GB","Color","Pink","Service Provider","Unlocked","Product grade","Renewed"
